num,uec256_name,food_id,food_name,energy_kcal,water_g,protein_g,fat_g,fiber_g,carbohydrate_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copeer_mg,manganess_mg,iodine_ug,selenium_ug,chromium_ug,molybdeum_ug,vitamin_d_ug,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,biotin_ug,vitamin_c_mg,,,
24,beef noodle,19007,＜中華めん類＞　ラーメン　しょうゆ,69,82.6,3.2,1.8,0.8,10.3,670,79,13,11,48,0.3,0.3,0.05,0.08,0,4,1,6,0,0,0.02,0.03,0.3,0.04,0,6,1.2,0,,,
25,tensin noodle,19008,＜中華めん類＞　天津めん,73,82.7,3.2,2.8,0.6,8.7,420,78,21,10,51,0.5,0.3,0.05,0.05,1,5,2,9,0.4,7,0.03,0.08,0.3,0.06,0.2,21,5.3,1,,,
26,fried noodle,01202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　＜添付調味料等を含むもの＞,222,(53.6),(5.0),(11.3),(3.3),(34.2),(910),(100),(94),(14),(54),(0.4),(0.3),(0.06),(0.30),(3),(9),(3),(9),0,(11),(0.28),(0.30),(0.6),(0.04),(Tr),(9),(1.1),(2),,,
27,spaghetti,01064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,60.0,5.8,0.9,3.0,32.2,460,14,8,20,53,0.7,0.7,0.14,0.35,0,32,1,13,(0),(0),0.06,0.03,0.6,0.02,(0),4,1.6,(0),,,
28,Japanese-style pancake,18053,和風料理　その他　お好み焼き,136,71.8,5.2,6.5,2.6,15.2,310,190,39,13,68,0.5,0.4,0.04,0.20 ,6,6,2,6,0.3,33,0.06,0.08,0.7,0.09,0.2,23,4.9,12,,,
29,takoyaki,19009,和風料理 たこ焼,139,63.8,4.8,6,1,16.5,240,150,49,16,72,0.7,0.5,0.08,0.25,10,7,1,5,0.2,4,0.06,0.06,0.6,0.06,0.3,22,0,1,,,
30,gratin,18003,洋風料理　その他　えびグラタン,128,(74.1),(5.5),(6.9),(0.9),(12.1),(380),(140),(97),(17),(110),(0.3),(0.6),(0.09),(0.14),(6),(9),(1),(6),(0.2),(23),(0.04),(0.11),(0.5),(0.04),(0.3),(13),(1.6),(2),,,
31,sauteed vegetables,19010,＜そう菜＞　いためもの　野菜炒め,90,81.9,3.7,6.1,1.7,5,330,200,36,21,66,0.7,0.4,0.08,0.29,2,4,2,11,0.1,52,0.07,0.08,0.8,0.12,0.1,54,0,21,,,
32,croquette,18018,洋風料理　コロッケ類　ポテトコロッケ,226,(55.5),(5.3),(12.6),(2.0),(25.2),(280),(250),(15),(19),(60),(0.8),(0.5),(0.11),(0.20),(1),(2),(1),(2),(0.1),(18),(0.11),(0.05),(1.1),(0.14),(0.1),(23),(1.4),(10),,,
33,grilled eggplant,06342,＜なす類＞　なす　果実　油いため,73,85.8,1.5,5.8,2.6,6.3,Tr,290,22,21,40,0.4,0.2,0.07,0.20,-,-,-,-,(0),11,0.06,0.07,0.7,0.06,(0),36,-,2,,,
